campaign	source_path	line	dependency_syntax	dependency_token	resolution_kind	resolved_path	resolved_sha256	source_unit	dependency_unit
shader-build-authority	renderer/premake5_pls_renderer.lua	4	lua-require	dependency	external-tool-module	-	-	build:pls_renderer	-
shader-build-authority	renderer/src/shaders/minify.py	1	python-import	argparse	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	2	python-import	glob	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	3	python-import	io	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	4	python-import	os	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	5	python-import	re	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	6	python-import	sys	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	7	python-import	collections	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/minify.py	56	python-import	ply.lex	external-tool-module	-	-	shader:minifier	-
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	10	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:atomic_base	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	11	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:atomic_base	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	12	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:atomic_base	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	13	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:atomic_base	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	16	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:atomic_base	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	17	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:atomic_base	shader:source:advanced_blend
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	18	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:atomic_base	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/atomic_base.glsl	19	cpp-include	atomic_draw.minified.glsl	generated-from-owned-source	renderer/src/shaders/atomic_draw.glsl	fad587733e5990e4ba77e194326dacaf27022026f9621e58a1aac2c131935849	shader:source:atomic_base	shader:source:atomic_draw
shader-build-authority	renderer/src/shaders/spirv/atomic_draw_atlas_blit.main	5	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_draw_atlas_blit	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_draw_image_mesh.main	5	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_draw_image_mesh	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_draw_image_rect.main	5	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_draw_image_rect	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_draw_interior_triangles.main	4	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_draw_interior_triangles	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_draw_path.main	4	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_draw_path	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_init.main	5	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_init	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_resolve.main	5	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_resolve	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/atomic_resolve_coalesced.main	6	cpp-include	atomic_base.glsl	owned-source	renderer/src/shaders/spirv/atomic_base.glsl	4f929858680a03c74e88b85b676d8020c7a588146367c7189eec791b2412365a	shader:source:atomic_resolve_coalesced	shader:source:atomic_base
shader-build-authority	renderer/src/shaders/spirv/blit_texture_as_draw_filtered.main	5	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:blit_texture_as_draw_filtered	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/blit_texture_as_draw_filtered.main	6	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:blit_texture_as_draw_filtered	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/blit_texture_as_draw_filtered.main	7	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:blit_texture_as_draw_filtered	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/blit_texture_as_draw_filtered.main	8	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:blit_texture_as_draw_filtered	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/blit_texture_as_draw_filtered.main	9	cpp-include	blit_texture_as_draw.minified.glsl	generated-from-owned-source	renderer/src/shaders/blit_texture_as_draw.glsl	c9d6ab3c8911900a246d22484ad4dbda0a050ba76d74353c9a514d3ca7da3515	shader:source:blit_texture_as_draw_filtered	shader:source:blit_texture_as_draw
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	11	cpp-include	glsl.minified.glsl	generated-from-owned-source	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:clear_clockwise_atomic_clip	shader:source:glsl
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	12	cpp-include	constants.minified.glsl	generated-from-owned-source	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:clear_clockwise_atomic_clip	shader:source:constants
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	13	cpp-include	specialization.minified.glsl	generated-from-owned-source	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:clear_clockwise_atomic_clip	shader:source:specialization
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	14	cpp-include	flush_uniforms.minified.glsl	generated-from-owned-source	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:clear_clockwise_atomic_clip	shader:source:flush_uniforms
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	15	cpp-include	common.minified.glsl	generated-from-owned-source	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:clear_clockwise_atomic_clip	shader:source:common
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	16	cpp-include	draw_path_common.minified.glsl	generated-from-owned-source	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:clear_clockwise_atomic_clip	shader:source:draw_path_common
shader-build-authority	renderer/src/shaders/spirv/clear_clockwise_atomic_clip.main	17	cpp-include	advanced_blend.minified.glsl	generated-from-owned-source	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:clear_clockwise_atomic_clip	shader:source:advanced_blend
