campaign	configuration	source_path	qualified_type	field_order	field_name	declared_type	declaration_line	ownership_unit	ownership_review
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	1	m_vk	const rcp<rive::gpu::VulkanContext>	135	vulkan:ore:context	retained-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	2	m_vkQueue	VkQueue	137	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	3	m_vkQueueFamily	uint32_t	138	vulkan:ore:context	value-lifetime-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	4	m_vkDepth24Stencil8Format	VkFormat	140	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	5	m_vkCommandPool	VkCommandPool	141	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	6	m_vkCommandBuffer	VkCommandBuffer	142	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	7	m_vkDescriptorPool	VkDescriptorPool	144	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	8	m_vkFrameFence	VkFence	145	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	9	m_vkCmdBufRecording	bool	148	vulkan:ore:context	value-lifetime-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	10	m_currentDescriptorPool	rcp<DescriptorPoolGeneration>	150	vulkan:ore:context	retained-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	11	m_vkEmptyDSL	VkDescriptorSetLayout	159	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	12	m_vkRenderPassCache	std::vector<std::pair<VKRenderPassKey, VkRenderPass>>	174	vulkan:ore:context	container-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	13	m_vkPendingInitialTransitions	std::vector<VkPendingImageTransition>	197	vulkan:ore:context	container-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan	14	m_vkPendingTextureUploads	std::vector<VkPendingTextureUpload>	219	vulkan:ore:context	container-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::DescriptorSetAllocation	1	set	VkDescriptorSet	168	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::DescriptorSetAllocation	2	pool	rcp<DescriptorPoolGeneration>	169	vulkan:ore:context	retained-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::VkPendingImageTransition	1	texture	rcp<Texture>	192	vulkan:ore:context	retained-owner-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::VkPendingImageTransition	2	aspectMask	VkImageAspectFlags	193	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::VkPendingImageTransition	3	oldLayout	VkImageLayout	194	vulkan:ore:context	native-handle-review-required
vulkan	vulkan	renderer/include/rive/renderer/ore/ore_context_vulkan.hpp	rive::ore::ContextVulkan::VkPendingImageTransition	4	newLayout	VkImageLayout	195	vulkan:ore:context	native-handle-review-required
