order_group	component_id	campaign	ownership_unit	dependency_units	source_count
0	component-000	shader-build-authority	build:pls_renderer		1
0	component-001	shader-build-authority	build:renderer		1
0	component-002	shader-build-authority	dependency:dawn		1
0	component-003	shader-build-authority	dependency:moltenvk		1
0	component-004	shader-build-authority	dependency:swiftshader		1
0	component-005	shader-build-authority	shader:build_graph		1
0	component-006	shader-build-authority	shader:minifier		1
0	component-007	shader-build-authority	shader:source:advanced_blend		1
0	component-008	shader-build-authority	shader:source:atomic_draw		1
0	component-024	shader-build-authority	shader:source:bezier_utils		1
0	component-025	shader-build-authority	shader:source:blit_texture_as_draw		1
0	component-009	shader-build-authority	shader:source:common		1
0	component-010	shader-build-authority	shader:source:constants		1
0	component-029	shader-build-authority	shader:source:draw_mesh		1
0	component-051	shader-build-authority	shader:source:draw_msaa_object		1
0	component-011	shader-build-authority	shader:source:draw_path_common		1
0	component-030	shader-build-authority	shader:source:draw_raster_order_path		1
0	component-012	shader-build-authority	shader:source:flush_uniforms		1
0	component-013	shader-build-authority	shader:source:glsl		1
0	component-059	shader-build-authority	shader:source:hlsl		1
0	component-061	shader-build-authority	shader:source:metal		1
0	component-062	shader-build-authority	shader:source:pls_load_store_ext		1
0	component-066	shader-build-authority	shader:source:resolve_atlas		1
0	component-067	shader-build-authority	shader:source:rhi		1
0	component-014	shader-build-authority	shader:source:specialization		1
0	component-057	shader-build-authority	shader:source:stencil_draw		1
0	component-069	shader-build-authority	shader:spirv_header_generator		1
0	component-070	shader-build-authority	shader:wgsl_header_generator		1
0	component-073	vulkan	vulkan:ore:bind_group_layout		1
0	component-076	vulkan	vulkan:ore:sampler		2
0	component-074	vulkan	vulkan:ore:shader_module		2
0	component-075	vulkan	vulkan:ore:vulkan_dsl		1
0	component-071	vulkan	vulkan:renderer:vkutil	vulkan:renderer:vulkan_context	2
0	component-071	vulkan	vulkan:renderer:vulkan_context	vulkan:renderer:vkutil	2
0	component-081	vulkan	vulkan:renderer:vulkan_memory_allocator		1
0	component-082	webgl2	webgl2:ore:bind_group		2
0	component-083	webgl2	webgl2:renderer:gles3		1
0	component-108	webgpu	webgpu:renderer:webgpu_compat		1
0	component-110	webgpu	webgpu:wagyu:.clang_format		1
0	component-111	webgpu	webgpu:wagyu:README		1
0	component-112	webgpu	webgpu:wagyu:library_webgpu_stubs		1
0	component-113	webgpu	webgpu:wagyu:library_webgpu_wagyu_stubs		1
0	component-098	webgpu	webgpu:wagyu:webgpu	webgpu:wagyu:webgpu_wagyu	2
0	component-099	webgpu	webgpu:wagyu:webgpu_cpp_chained_struct		1
0	component-100	webgpu	webgpu:wagyu:webgpu_enum_class_bitmasks		1
0	component-114	webgpu	webgpu:wagyu:webgpu_port		1
0	component-098	webgpu	webgpu:wagyu:webgpu_wagyu	webgpu:wagyu:webgpu	1
1	component-015	shader-build-authority	shader:source:atomic_base	shader:source:advanced_blend;shader:source:atomic_draw;shader:source:common;shader:source:constants;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	1
1	component-026	shader-build-authority	shader:source:blit_texture_as_draw_filtered	shader:source:blit_texture_as_draw;shader:source:common;shader:source:constants;shader:source:flush_uniforms;shader:source:glsl	1
1	component-027	shader-build-authority	shader:source:clear_clockwise_atomic_clip	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_path_common;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
1	component-028	shader-build-authority	shader:source:color_ramp	shader:source:common;shader:source:constants;shader:source:flush_uniforms;shader:source:glsl	2
1	component-048	shader-build-authority	shader:source:draw_fullscreen_quad	shader:source:common;shader:source:constants;shader:source:flush_uniforms;shader:source:glsl	2
1	component-039	shader-build-authority	shader:source:draw_image_mesh	shader:source:advanced_blend;shader:source:common;shader:source:constants;shader:source:draw_mesh;shader:source:flush_uniforms;shader:source:glsl;shader:source:specialization	2
