campaign	corpus_entry	primary_backend_id	mode	stream_sha256	run_a_replay_sha256	run_b_replay_sha256	adapter	run_a_png_sha256	run_b_png_sha256	observed_different_pixels	observed_max_channel_delta	frozen_max_different_pixels	frozen_max_channel_delta	candidate_output_observed	status
vulkan	first-light-rectangle-msaa	ffi-vulkan	msaa	bcbd5f7dd60748ddefe57186b8460a6d31673c8ef23c9eb80784fcf5f35116a7	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	58d0a71f5a6903752dd4a6e5ddf8c5a0b83157535d0de95a09bcb177de7e10da	58d0a71f5a6903752dd4a6e5ddf8c5a0b83157535d0de95a09bcb177de7e10da	0	0	0	0	false	frozen-source-repeatability
vulkan	first-light-triangle-clockwise-atomic	ffi-vulkan	clockwise-atomic	d4f9859bd94fc1b15ec046704fd5742d6f4e8433508c43be8c9baa1e2bd2be15	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	e4275921975e55177c36c21a8fb134f8abffe6c614342460e4b43414fbd3336b	e4275921975e55177c36c21a8fb134f8abffe6c614342460e4b43414fbd3336b	0	0	0	0	false	frozen-source-repeatability
vulkan	first-light-direct-feather-stroke-clockwise-atomic	ffi-vulkan	clockwise-atomic	7bfac8f09ecbb52eabb9fcb5979c5c4d3979ad98ef17eec1a8c0e42b53eb2ee6	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	c4f40452c6eb2c3aac8967d2aa5e608b06e26d1c82810623fbe3e19c3bb00680	d0c296b5ead197347d148d97406f86bd10adae87cde360124a06a0ef23bbb1cb	0	1	0	1	false	frozen-source-repeatability
vulkan	first-light-atlas-feather-stroke-clockwise-atomic	ffi-vulkan	clockwise-atomic	204fb02b8d6ae646ef45cf05b12224caacb4ba4a19ef4a2246a52d2a5cdc69a5	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	3cc9c36162362468f1f44c696c35c72335ef51fd85c43f328ceea1668a93e4dc	3cc9c36162362468f1f44c696c35c72335ef51fd85c43f328ceea1668a93e4dc	0	0	0	0	false	frozen-source-repeatability
vulkan	first-light-two-atlas-feather-strokes-clockwise-atomic	ffi-vulkan	clockwise-atomic	b057548818251e39a96b2e6e928eefcc7efcff2c2ab4c390fd67f7e5332dd6c0	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	1a196fcc57a14de69d531e396375dadfaaead842eb97606c72cc6938950a58c0	1a196fcc57a14de69d531e396375dadfaaead842eb97606c72cc6938950a58c0	0	0	0	0	false	frozen-source-repeatability
vulkan	first-light-nested-clip-probe-clockwise-atomic	ffi-vulkan	clockwise-atomic	efbb8df4b4c1bf877b5723154da980a28c84f064df90cbb92fef2fceed7798dc	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	129bdd22ded81b0f94b8a2724f9a8cbaab140eb06feb228965b07692b675f4a0	129bdd22ded81b0f94b8a2724f9a8cbaab140eb06feb228965b07692b675f4a0	0	0	0	0	false	frozen-source-repeatability
vulkan	artboardclipping-frame-0-msaa	ffi-vulkan	msaa	6763744b3d91b01378622cac3c3b6d3d4eaeff4ae1fe48b347ac22f42bfdf28b	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	8565466bd8adecfdfd0aadb3ece167c0ba904eb68487376cefb7bc3ec0464fe8	8565466bd8adecfdfd0aadb3ece167c0ba904eb68487376cefb7bc3ec0464fe8	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-CubicStroke-clockwise-atomic	ffi-vulkan	clockwise-atomic	f6d2abac94d63710dba737ab89384ebdd4793805e8f4f574d7236087c17010e4	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	25beefeb5cc28aff3911a8a675957fa08957b516dd89ea3e250062e77555f871	25beefeb5cc28aff3911a8a675957fa08957b516dd89ea3e250062e77555f871	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-CubicStroke-msaa	ffi-vulkan	msaa	f6d2abac94d63710dba737ab89384ebdd4793805e8f4f574d7236087c17010e4	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	0a1cab54f6853c5f5ea6eaf7b016811c03563861a582078db4c55154cbd670b6	0a1cab54f6853c5f5ea6eaf7b016811c03563861a582078db4c55154cbd670b6	0	0	0	0	false	frozen-source-repeatability
vulkan	gm-OverStroke-clockwise-atomic	ffi-vulkan	clockwise-atomic	fa31973b81e22eac01b57d06cbd6e490a1764d391598b28c399a0fcc209b93f2	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	bc1505f6bbb1c654e1b6af0687fd0538029b6017c9c1854021b79bda294d2beb	Apple M5 Max	9f1edeae49781bf2f9f493bff9e55d1900f4c744d6dd140116750cebfc642480	5d634af70a6f6cab678bb4da2f993edfd1d7ddd2d932f740fd75d8cc3e203c20	0	2	0	2	false	frozen-source-repeatability
