campaign	source_path	source_sha256	ownership_unit	source_role	port_disposition	target_path	mapping_status	translation_status
shader-build-authority	renderer/make_dawn.sh	d858f043c468c9c256e985b3a8a81f62dbd884d79c9ef7000cbcd7c884da7aa0	dependency:dawn	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_make_dawn_sh__build_input.rs	exclusive	pending
shader-build-authority	renderer/make_moltenvk.sh	10e70a3f5f378fff23f09ffc11d853c48ddc044fd310f2b3fb71a79b5683f80b	dependency:moltenvk	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_make_moltenvk_sh__build_input.rs	exclusive	pending
shader-build-authority	renderer/make_swiftshader.sh	c046e447bd6d0753829b69e0824679b07ed4f0329bad7c651b2b917edf1aabe2	dependency:swiftshader	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_make_swiftshader_sh__build_input.rs	exclusive	pending
shader-build-authority	renderer/premake5.lua	8ae326a887fd81dd76cdc56382497a3a3905e5c92bfe3976aed7e333eb1878a1	build:renderer	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_premake5_lua__build_input.rs	exclusive	pending
shader-build-authority	renderer/premake5_pls_renderer.lua	e00b0483a6c09608ef3ad8c61f1b30b3ef00e78722bc3e1228db7ee741d22c84	build:pls_renderer	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_premake5_pls_renderer_lua__build_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/Makefile	ec5d0d98d78051e98cda80f92cd67858cb1fb70be64cddd8ad13bcd4ad5f50fc	shader:build_graph	build-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_makefile__build_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/advanced_blend.glsl	d7f8d9cec8e095c7e6d331a9f3ba48cdb18ea63f961d9223e3dfc509bcd8794b	shader:source:advanced_blend	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_advanced_blend_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/atomic_draw.glsl	fad587733e5990e4ba77e194326dacaf27022026f9621e58a1aac2c131935849	shader:source:atomic_draw	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_atomic_draw_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/bezier_utils.glsl	c18b0d2aac6f33dff72a6f17bdcc4b40ee337651fa0ecdd104e85641701e385f	shader:source:bezier_utils	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_bezier_utils_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/blit_texture_as_draw.glsl	c9d6ab3c8911900a246d22484ad4dbda0a050ba76d74353c9a514d3ca7da3515	shader:source:blit_texture_as_draw	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_blit_texture_as_draw_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/clear_clockwise_atomic_clip.glsl	75e9b26beb81bf9279a78e13c0510dca4e60f704ad9710ae368c116b1aa13da6	shader:source:clear_clockwise_atomic_clip	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_clear_clockwise_atomic_clip_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/color_ramp.glsl	65d0e8610193de1a7bf02722bcc153f04474e0d57644a35fd56291333ee8fde1	shader:source:color_ramp	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_color_ramp_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/common.glsl	37d9f72c2ec84a9a24b42d8798c56c77e396c7b57a39f24edece8c95fe8b3881	shader:source:common	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_common_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/constants.glsl	eefc0b9115beb4fe87b85431b0c683fdec73244c044278e97fdba0c96014bb56	shader:source:constants	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_constants_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_clockwise_atomic_borrowed_coverage.frag	ddb9ef796b76b9d6bd2e743a0766aaf6b66732f124d1ddfcc80d2951db970a92	shader:source:draw_clockwise_atomic_borrowed_coverage	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_clockwise_atomic_borrowed_coverage_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_clockwise_atomic_clip.frag	c50f3d97fa389ef3e68ac2a20579f022ea688079ab97956d66e4c4b62310ceb4	shader:source:draw_clockwise_atomic_clip	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_clockwise_atomic_clip_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_clockwise_atomic_path.frag	4ea83385144a73678293d4313b53fad6cc4204551b41800c2c8b7c8821ea1287	shader:source:draw_clockwise_atomic_path	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_clockwise_atomic_path_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_clockwise_clip.frag	85c10fcfd0c66df4796ade0f0c3b33f1d633138cfd2548462e545e804e18307e	shader:source:draw_clockwise_clip	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_clockwise_clip_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_clockwise_path.frag	f033a35f69ad4d2802fc9afa21f0ca0e06f73bb516d9cd9099a378a553eaa377	shader:source:draw_clockwise_path	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_clockwise_path_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_fullscreen_quad.vert	6a9842803e8472ab8f756a191c6a6d60a7c28db5587ee22c5e9bddb000c49cc2	shader:source:draw_fullscreen_quad	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_fullscreen_quad_vert__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_image_mesh.vert	f8c9d0c3a50cd3d42af1e67f8acb4258ac8c05833210d0b4556c95dff3312166	shader:source:draw_image_mesh	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_image_mesh_vert__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_input_attachment.frag	8af2574495c71e8282116b3e598daf5e1c705d0b50c39d2439ad18e6be1e8694	shader:source:draw_input_attachment	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_input_attachment_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_mesh.frag	d3a060c05d66e187ca2a0edab03788e7d885364ba833237e2e89f39a2b5e9c1f	shader:source:draw_mesh	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_mesh_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_msaa_object.frag	28ec08b53f7f32a12439d5f85481c4f5d66660f0e80e867b44fcbd35adba9d85	shader:source:draw_msaa_object	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_msaa_object_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_msaa_resolve.frag	93cac1c9b5a8f5a4c41100475b797ae1352fc803c81d619de1b1e81bdc0fb6a1	shader:source:draw_msaa_resolve	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_msaa_resolve_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_path.vert	b247e0f8a6016df848814454ce0fdf2d4b2a6a81a70484bb223b5d939059ae71	shader:source:draw_path	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_path_vert__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_path_common.glsl	3a6e72e80eec81b2eb467134f62188e2a86f7debfb0798a8c4ed5873beb7e86e	shader:source:draw_path_common	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_path_common_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/draw_raster_order_path.frag	f4b4f70790ff16aa39870f0fcd848afa69dc52bf4b45fbbed3c1dab645eeb67f	shader:source:draw_raster_order_path	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_draw_raster_order_path_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/flush_uniforms.glsl	1c22659c0e40233b0b06515287e122e06b73a4428d8e78721ca71e3419db961e	shader:source:flush_uniforms	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_flush_uniforms_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/glsl.glsl	d7e3b795badbe6e5108f268ddea4f7c0bb5af4ad1416e41c7304beca89a15523	shader:source:glsl	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_glsl_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/hlsl.glsl	ccdbdadea1add6c67088c2b36e4a25975d01150412f7d0554a8933bd91cb337d	shader:source:hlsl	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_hlsl_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/init_clockwise_atomic_workaround.frag	092a1f498d0f6ff336edecdc73f96c46c1b3a51d494249839fe9934203dd53a3	shader:source:init_clockwise_atomic_workaround	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_init_clockwise_atomic_workaround_frag__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/metal.glsl	4a2cc45e01b2fa4d9a5e6428cae8f721f3ce2fe0dc143a326d84f12a9cd38794	shader:source:metal	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_metal_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/minify.py	bf4b9f529a19765c5e6f28b68ef8a73f5bd65433cd87ce723df5df923e6bc22b	shader:minifier	generator	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_minify_py__generator.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/pls_load_store_ext.glsl	39d167247268280cac6bbf5d9febdd30fea9fcf1bce5016eca1170e4544feb82	shader:source:pls_load_store_ext	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_pls_load_store_ext_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/render_atlas.glsl	9d720063cf3360342205dcfa385e5c43e034aef3dfbd22014991de7aef61e4e6	shader:source:render_atlas	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_render_atlas_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/resolve_atlas.glsl	a31d945c9b29dd4ba74cff3c9c9010e108f5cd82bb0b82474b199725e59aa04f	shader:source:resolve_atlas	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_resolve_atlas_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/rhi.glsl	b08bc3a81cd7e88eb82ffba447fd073630aaa51f996641e8f7cd367678617f96	shader:source:rhi	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_rhi_glsl__generated_input.rs	exclusive	pending
shader-build-authority	renderer/src/shaders/specialization.glsl	e510983192e84c1cc69d990a14f606cfa92af234290636593d5be3e3f4e07f72	shader:source:specialization	generated-input	shared-authority	crates/nuxie-renderer/src/mechanical_port/shader-build-authority/renderer_src_shaders_specialization_glsl__generated_input.rs	exclusive	pending
