artifact_path	artifact_sha256	logical_lines	artifact_role	review_overlay	source_authority	disposition
Cargo.lock	5f525f173c78e3dae0525712574269d57fbf888ca6961124d5b1bf6cdbefe7e4	3096	cargo-integration	backend-identity-and-browser-bridges	workspace-cargo-graph	review-full-source-semantics
Cargo.toml	d4500e3df7d67fe6ad130cf94a0b040062ccb27b24ad82eb018e77b775a66ee3	132	cargo-integration	backend-identity-and-browser-bridges	workspace-cargo-graph	review-full-source-semantics
crates/nuxie-renderer/Cargo.toml	622eeb204dc265007cfd71a05f1827f96a97b29dbea94eec996d47985324d5af	101	cargo-integration	backend-identity-and-browser-bridges	workspace-cargo-graph	review-full-source-semantics
vendor/vk-mem-0.5.0/Cargo.toml	2680b1ca492c7cfdf0e99b23265e4e8a5f47eaffc53a35c954df19cc4b0c783e	88	vulkan-memory-adaptation	vulkan-vma-adaptation	pinned-vma-and-vulkan-headers	review-full-source-semantics
crates/nuxie-ore-metal/src/lib.rs	6b234a9f4896da2b5ec9f662eb4f7221a264ca57d46e9a967649aa137074e77c	373	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/gpu_resource_hpp.rs	5a3932b903bb3a7b3dec48cce16175f80d7489f0f67ad4917340560257882c80	2680	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_bind_group_hpp.rs	2cdd2b2713078a50c027c0f71f16b97b242c8156b079bfddcc4f4f12dd13e4fa	261	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_bind_group_layout_hpp.rs	209d37fb53e89c14a922519bfe7283c60d74f7589891ea22800a4cdb1c3d2144	509	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_context_hpp.rs	0347a24d72bb9fea98a11a7baef17023d5c67a1bf1ceb825db5ce5d5c4c53488	627	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_texture_hpp.rs	cf404f3225ae7dff830dd1daf5ce4fa98765c720fa821869086725472baac9e9	475	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-ore-metal/src/mechanical_port/source/renderer/src/ore/ore_bind_group_layout_cpp.rs	1e9f17bf8f1be8e310a066a9dc606ea10bdbb2f6991c47a8fd40b76302c6a5a0	329	shared-ore-contract-adaptation	shared-ore-contracts	shared-generic-metal-authority	review-full-source-semantics
crates/nuxie-renderer/build.rs	af5d7def5b106a99702d3abc9575b7f4d22bccf37a9922055ace3a9498e821a7	656	generated-authority-integration	generated-authority	pinned-shader-build-graph	review-full-source-semantics
crates/nuxie-renderer/src/draw.rs	2d7587179844b4258bb551b6273e9908e2ac3c3de0fd372edfee1b0aacaf3321	4184	renderer-integration-glue	backend-identity-and-browser-bridges	exclusive-backend-module-wiring	review-full-source-semantics
crates/nuxie-renderer/src/lib.rs	7eba680231f3a59e8ce36a3b5bad2bcd7f2958b040a2cf202eab95aaefe4479f	26862	renderer-integration-glue	backend-identity-and-browser-bridges	exclusive-backend-module-wiring	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port.rs	5881b04a7f727c8bd577080ee6d181b2f0012c2d2866bec23dcb814f8238e60f	441	renderer-integration-glue	backend-identity-and-browser-bridges	exclusive-backend-module-wiring	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/backend_shader_authority_inventory.rs	65f64640d98e6da2a6cdbbbc3ab8c9d360f017ac154f4ec7e0180709347f56eb	236	generated-authority-integration	generated-authority	pinned-shader-build-graph	review-full-source-semantics
crates/nuxie-renderer/src/mechanical_port/source/include/rive/factory_hpp.rs	378c2e193bb88f08ecd167d6148ee68e16fc2ac5acd1268e851dacfdb93a2455	269	shared-renderer-contract-adaptation	shared-renderer-contracts	shared-generic-renderer-authority	review-full-source-semantics
