version	upstream_ref	unit	source_c_asserts	rust_debug_asserts	rust_asserts
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-types	3	1	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-render-path	8	0	2
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-render-paint	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-renderer	15	2	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-factory-contract	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-gradient	3	3	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-render-factory	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-refcnt	1	1	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-lite-rtti	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-image-sampler	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-renderer-contract	1	0	1
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-renderer-implementation	8	0	8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-gpu-texture-format	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-astc-footprints	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-gpu-contract	16	18	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-buffer-ring	5	5	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-target	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-texture-image	2	2	1
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-render-buffer	0	0	3
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-canvas	0	0	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-context-contract	14	6	16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-context-impl-contract	2	2	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-context-helper	9	11	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-gpu-implementation	41	28	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-render-context-implementation	327	170	0
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	metal-shader-source-batch	0	0	6
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	metal-render-context-api	1	1	31
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	metal-background-shader-compiler	7	7	104
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	metal-render-context-implementation	25	26	685
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	0	0	159
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-rstb-container	0	0	47
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-binding-map	2	2	73
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	13	17	95
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group-layout	0	0	34
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-buffer	1	2	30
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-texture	2	2	27
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-sampler	0	0	4
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-shader-module	2	3	17
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-pipeline	0	0	25
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group	0	0	29
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-context-render-pass	14	19	87
