version	upstream_sha	authority_kind	upstream_file	entry_id	line	branch_kind	condition_or_target	option_family	target_family	translation_unit	translation_target	translation_disposition	translation_behavior	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	make-minify	21	rule-family	minify	-	all-34-minify-inputs	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	batch-minify-once	cpp:renderer/src/shaders/Makefile:21
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	make-draw-combinations	49	rule-family	$(DRAW_COMBINATIONS_METAL)	-	draw-generator	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	generate-exact-permutation-include	cpp:renderer/src/shaders/Makefile:49
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-macosx	52,62,71	rule-family	rive_pls_macosx_metallib -> $(OUT)/macosx/rive_pls_macosx.metallib -> $(OUT)/rive_pls_macosx.metallib.c	-	macosx/metal2.3/min-macos11	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:52;cpp:renderer/src/shaders/Makefile:62;cpp:renderer/src/shaders/Makefile:71
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-iphoneos	53,76,85	rule-family	rive_pls_ios_metallib -> $(OUT)/ios/rive_pls_ios.metallib -> $(OUT)/rive_pls_ios.metallib.c	-	iphoneos/metal2.2/min-ios13	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:53;cpp:renderer/src/shaders/Makefile:76;cpp:renderer/src/shaders/Makefile:85
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-iphonesimulator	54,88,97	rule-family	rive_pls_ios_simulator_metallib -> $(OUT)/ios/rive_pls_ios_simulator.metallib -> $(OUT)/rive_pls_ios_simulator.metallib.c	-	iphonesimulator/metal2.2/min-iossim13	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:54;cpp:renderer/src/shaders/Makefile:88;cpp:renderer/src/shaders/Makefile:97
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-xros	55,100,109	rule-family	rive_renderer_xros_metallib -> $(OUT)/ios/rive_renderer_xros.metallib -> $(OUT)/rive_renderer_xros.metallib.c	-	xros/metal3.1/air64-apple-xros1.0	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:55;cpp:renderer/src/shaders/Makefile:100;cpp:renderer/src/shaders/Makefile:109
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-xrsimulator	56,112,121	rule-family	rive_renderer_xros_simulator_metallib -> $(OUT)/ios/rive_renderer_xros_simulator.metallib -> $(OUT)/rive_renderer_xros_simulator.metallib.c	-	xrsimulator/metal3.1/air64-apple-xros1.0-simulator	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:56;cpp:renderer/src/shaders/Makefile:112;cpp:renderer/src/shaders/Makefile:121
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-appletvos	57,124,133	rule-family	rive_renderer_appletvos_metallib -> $(OUT)/ios/rive_renderer_appletvos.metallib -> $(OUT)/rive_renderer_appletvos.metallib.c	-	appletvos/metal3.0/min-tvos16	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:57;cpp:renderer/src/shaders/Makefile:124;cpp:renderer/src/shaders/Makefile:133
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	apple-appletvsimulator	58,136,145	rule-family	rive_renderer_appletvsimulator_metallib -> $(OUT)/ios/rive_renderer_appletvsimulator.metallib -> $(OUT)/rive_renderer_appletvsimulator.metallib.c	-	appletvsimulator/metal3.0/min-tvossim16	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	translate-seven-way-apple-artifact	cpp:renderer/src/shaders/Makefile:58;cpp:renderer/src/shaders/Makefile:136;cpp:renderer/src/shaders/Makefile:145
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	spirv	411,412	rule-family	spirv;spirv-binary	-	SPIR-V/glslangValidator+spirv-opt+header	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	preserve-full-source-non-metal-rule	cpp:renderer/src/shaders/Makefile:411;cpp:renderer/src/shaders/Makefile:412
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	make-rule-family	renderer/src/shaders/Makefile	wgsl	465	rule-family	wgsl	-	WGSL/Naga-keep-coordinate-space+header	metal-shader-source-batch	crates/nuxie-renderer/build.rs	required	preserve-full-source-non-metal-rule	cpp:renderer/src/shaders/Makefile:465
