version	upstream_sha	translation_unit	dispatch_ordinal	dispatch_prerequisites	source_dependencies	source_dependency_scc	ordering_contract	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	1	-	-	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-rstb-container	2	-	-	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-binding-map	3	-	-	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-rive-types	4	-	-	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	generic-refcnt	5	generic-rive-types	generic-rive-types	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	6	generic-refcnt	generic-refcnt	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-bind-group-layout	7	gpu-resource;ore-binding-map;ore-types	generic-lite-rtti;gpu-resource;ore-binding-map;ore-types	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-buffer	8	gpu-resource;ore-types	generic-lite-rtti;generic-rive-types;gpu-resource;ore-context-render-pass;ore-types	unit-scc-01	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-texture	9	gpu-resource;ore-types	generic-lite-rtti;generic-rive-types;gpu-resource;ore-types	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-sampler	10	gpu-resource;ore-types	generic-lite-rtti;gpu-resource;ore-types	-	acyclic-dispatch-only	manifest:docs/metal-port-manifest.toml
