version	upstream_sha	upstream_file	block_id	block_start	block_end	block_depth	branch_ordinal	branch_line	directive	active_branch_path	translation_unit	translation_target	mapping_status	translation_status	translation_disposition	translation_behavior	validation_disposition	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	pp-0001	130	136	1	1	130	#if defined(__EMSCRIPTEN__)	(!defined(_RIVE_RENDERER_HPP_)) && (defined(__EMSCRIPTEN__))	generic-renderer-contract	crates/nuxie-renderer/src/mechanical_port/source/include/rive/renderer_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/renderer.hpp:130
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/renderer.hpp	pp-0002	155	167	1	1	155	#if defined(__EMSCRIPTEN__)	(!defined(_RIVE_RENDERER_HPP_)) && (defined(__EMSCRIPTEN__))	generic-renderer-contract	crates/nuxie-renderer/src/mechanical_port/source/include/rive/renderer_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/renderer.hpp:155
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0003	15	17	1	1	15	#if defined(DEBUG) && defined(NDEBUG)	(!defined(_RIVE_TYPES_HPP_)) && (defined(DEBUG) && defined(NDEBUG))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0004	19	27	1	1	19	#if !defined(DEBUG) && !defined(NDEBUG)	(!defined(_RIVE_TYPES_HPP_)) && (!defined(DEBUG) && !defined(NDEBUG))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:19
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0005	29	37	1	1	29	#ifdef NDEBUG	(!defined(_RIVE_TYPES_HPP_)) && (defined(NDEBUG))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:29
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0005	29	37	1	2	33	#else // debug mode	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(NDEBUG))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:33
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0006	30	32	2	1	30	#ifndef RELEASE	(!defined(_RIVE_TYPES_HPP_)) && (defined(NDEBUG)) && (!defined(RELEASE))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:30
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0007	34	36	2	1	34	#ifndef DEBUG	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(NDEBUG)))) && (!defined(DEBUG))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:34
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0008	41	54	1	1	41	#ifdef __APPLE__	(!defined(_RIVE_TYPES_HPP_)) && (defined(__APPLE__))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:41
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0009	46	50	2	1	46	#if TARGET_OS_IPHONE	(!defined(_RIVE_TYPES_HPP_)) && (defined(__APPLE__)) && (TARGET_OS_IPHONE)	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:46
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0009	46	50	2	2	48	#elif TARGET_OS_MAC	(!defined(_RIVE_TYPES_HPP_)) && (defined(__APPLE__)) && (!((TARGET_OS_IPHONE)) && (TARGET_OS_MAC))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:48
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0010	66	80	1	1	66	#if defined(__GNUC__) || defined(__clang__)	(!defined(_RIVE_TYPES_HPP_)) && (defined(__GNUC__) || defined(__clang__))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:66
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0010	66	80	1	2	70	#elif _MSC_VER	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(__GNUC__) || defined(__clang__))) && (_MSC_VER))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:70
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0010	66	80	1	3	74	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(__GNUC__) || defined(__clang__)) || (_MSC_VER)))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:74
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0011	82	86	1	1	82	#if __cplusplus >= 201703L	(!defined(_RIVE_TYPES_HPP_)) && (__cplusplus >= 201703L)	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:82
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0011	82	86	1	2	84	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((__cplusplus >= 201703L)))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:84
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0012	88	94	1	1	88	#if __cplusplus >= 201703L	(!defined(_RIVE_TYPES_HPP_)) && (__cplusplus >= 201703L)	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:88
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0012	88	94	1	2	90	#elif defined(__clang__)	(!defined(_RIVE_TYPES_HPP_)) && (!((__cplusplus >= 201703L)) && (defined(__clang__)))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:90
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0012	88	94	1	3	92	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((__cplusplus >= 201703L) || (defined(__clang__))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:92
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0013	96	100	1	1	96	#if defined(__GNUC__) || defined(__clang__)	(!defined(_RIVE_TYPES_HPP_)) && (defined(__GNUC__) || defined(__clang__))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:96
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0013	96	100	1	2	98	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(__GNUC__) || defined(__clang__))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:98
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0014	105	107	1	1	105	#ifndef __has_attribute	(!defined(_RIVE_TYPES_HPP_)) && (!defined(__has_attribute))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:105
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0015	108	113	1	1	108	#if defined(__clang__) && __has_attribute(no_thread_safety_analysis)	(!defined(_RIVE_TYPES_HPP_)) && (defined(__clang__) && __has_attribute(no_thread_safety_analysis))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:108
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0015	108	113	1	2	111	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(__clang__) && __has_attribute(no_thread_safety_analysis))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:111
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0016	115	123	1	1	115	#if defined(__GNUC__) || defined(__clang__)	(!defined(_RIVE_TYPES_HPP_)) && (defined(__GNUC__) || defined(__clang__))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:115
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0016	115	123	1	2	121	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(__GNUC__) || defined(__clang__))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:121
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0017	118	120	2	1	118	#ifndef __has_builtin	(!defined(_RIVE_TYPES_HPP_)) && (defined(__GNUC__) || defined(__clang__)) && (!defined(__has_builtin))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:118
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0018	125	129	1	1	125	#if __has_builtin(__builtin_memcpy)	(!defined(_RIVE_TYPES_HPP_)) && (__has_builtin(__builtin_memcpy))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:125
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0018	125	129	1	2	127	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((__has_builtin(__builtin_memcpy))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:127
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0019	131	135	1	1	131	#ifdef DEBUG	(!defined(_RIVE_TYPES_HPP_)) && (defined(DEBUG))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:131
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/rive_types.hpp	pp-0019	131	135	1	2	133	#else	(!defined(_RIVE_TYPES_HPP_)) && (!((defined(DEBUG))))	generic-rive-types	crates/nuxie-renderer/src/mechanical_port/source/include/rive/rive_types_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:include/rive/rive_types.hpp:133
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0020	330	338	0	1	330	#ifndef NDEBUG	(!defined(NDEBUG))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:330
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0020	330	338	0	2	336	#else	(!((!defined(NDEBUG))))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:336
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0021	360	362	0	1	360	#ifndef NDEBUG	(!defined(NDEBUG))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:360
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0022	1209	1219	0	1	1209	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:1209
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0023	1320	1327	0	1	1320	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:1320
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0024	1649	1652	0	1	1649	#ifdef TESTING	(defined(TESTING))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:1649
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/gpu.hpp	pp-0025	2013	2016	0	1	2013	#ifdef RIVE_GENERATE_FEATHER_LUT	(defined(RIVE_GENERATE_FEATHER_LUT))	generic-gpu-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/gpu_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/gpu.hpp:2013
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	pp-0026	13	15	0	1	13	#ifndef RIVE_OBJC_NOP	(!defined(RIVE_OBJC_NOP))	metal-render-context-api	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/metal/render_context_metal_impl_h.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	pp-0027	106	109	0	1	106	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	metal-render-context-api	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/metal/render_context_metal_impl_h.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:106
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	pp-0028	155	159	0	1	155	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	metal-render-context-api	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/metal/render_context_metal_impl_h.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:155
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_binding_map.hpp	pp-0029	241	270	0	1	241	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	ore-binding-map	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_binding_map_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_binding_map.hpp:241
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_binding_map.hpp	pp-0030	277	279	0	1	277	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	ore-binding-map	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_binding_map_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_binding_map.hpp:277
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_binding_map.hpp	pp-0031	296	298	0	1	296	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	ore-binding-map	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_binding_map_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_binding_map.hpp:296
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_context.hpp	pp-0032	154	156	0	1	154	#if defined(__GNUC__) || defined(__clang__)	(defined(__GNUC__) || defined(__clang__))	ore-context-render-pass	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_context_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_context.hpp:154
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_shader_module.hpp	pp-0033	47	50	0	1	47	#ifdef TRACK_RIVE_SHADER_ID	(defined(TRACK_RIVE_SHADER_ID))	ore-shader-module	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_shader_module_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_shader_module.hpp:47
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/ore/ore_shader_module.hpp	pp-0034	66	68	0	1	66	#ifdef TRACK_RIVE_SHADER_ID	(defined(TRACK_RIVE_SHADER_ID))	ore-shader-module	crates/nuxie-ore-metal/src/mechanical_port/source/renderer/include/rive/renderer/ore/ore_shader_module_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/ore/ore_shader_module.hpp:66
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context.hpp	pp-0035	10	13	0	1	10	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context.hpp	pp-0036	133	140	0	1	133	#ifdef WITH_RIVE_TOOLS	(defined(WITH_RIVE_TOOLS))	generic-render-context-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context.hpp:133
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context.hpp	pp-0037	304	310	0	1	304	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context.hpp:304
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context.hpp	pp-0038	396	398	0	1	396	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context.hpp:396
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context_impl.hpp	pp-0039	10	12	0	1	10	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-impl-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context_impl.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context_impl.hpp	pp-0040	14	19	0	1	14	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-impl-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context_impl.hpp:14
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context_impl.hpp	pp-0041	23	25	0	1	23	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-impl-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context_impl.hpp:23
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context_impl.hpp	pp-0042	76	86	0	1	76	#ifdef RIVE_CANVAS	(defined(RIVE_CANVAS))	generic-render-context-impl-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context_impl.hpp:76
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/render_context_impl.hpp	pp-0043	230	242	0	1	230	#if defined(ORE_BACKEND_GL) && defined(RIVE_CANVAS)	(defined(ORE_BACKEND_GL) && defined(RIVE_CANVAS))	generic-render-context-impl-contract	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/render_context_impl_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/render_context_impl.hpp:230
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/rive_render_image.hpp	pp-0044	9	11	0	1	9	#ifdef __EMSCRIPTEN__	(defined(__EMSCRIPTEN__))	generic-texture-image	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/rive_render_image_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/rive_render_image.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/rive_renderer.hpp	pp-0045	56	73	0	1	56	#ifdef TESTING	(defined(TESTING))	generic-rive-renderer	crates/nuxie-renderer/src/mechanical_port/source/renderer/include/rive/renderer/rive_renderer_hpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/include/rive/renderer/rive_renderer.hpp:56
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/draw.cpp	pp-0046	442	449	0	1	442	#ifdef NDEBUG	(defined(NDEBUG))	generic-render-context-implementation	crates/nuxie-renderer/src/mechanical_port/source/renderer/src/draw_cpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/src/draw.cpp:442
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/gpu.cpp	pp-0047	1796	1840	0	1	1796	#ifndef NDEBUG	(!defined(NDEBUG))	generic-gpu-implementation	crates/nuxie-renderer/src/mechanical_port/source/renderer/src/gpu_cpp.rs	prepared	verified	required	mechanically-translate-every-branch-in-source-order	compile-and-execute	cpp:renderer/src/gpu.cpp:1796
