version	upstream_sha	upstream_file	dependency_source	resolution_kind	occurrence_count	occurrence_lines	include_tokens	source_unit	dependency_unit	correspondence_owner	correspondence_evidence	unit_edge_status	unit_scc	translation_status	translation_disposition	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	decoders/include/rive/decoders/astc_footprints.hpp	toolchain:cstdint	toolchain-header	1	8	cstdint	generic-astc-footprints	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:decoders/include/rive/decoders/astc_footprints.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/audio/audio_source.hpp	upstream-global-source	1	10	rive/audio/audio_source.hpp	generic-factory-contract	existing-rust:crates/nuxie-runtime/src/assets/audio_asset.rs	crates/nuxie-runtime/src/assets/audio_asset.rs	rust:crates/nuxie-runtime/src/assets/audio_asset.rs:1-102	existing-rust-correspondence	-	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/math/aabb.hpp	upstream-global-source	1	13	rive/math/aabb.hpp	generic-factory-contract	existing-rust:crates/nuxie-render-api/src/lib.rs	crates/nuxie-render-api/src/lib.rs	rust:crates/nuxie-render-api/src/lib.rs:1-4934	existing-rust-correspondence	-	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:13
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/refcnt.hpp	campaign-source	1	11	rive/refcnt.hpp	generic-factory-contract	generic-refcnt	-	-	also-dispatch-prerequisite	-	verified	preserve-source-dependency	cpp:include/rive/factory.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/renderer.hpp	campaign-source	1	8	rive/renderer.hpp	generic-factory-contract	generic-renderer-contract	-	-	also-dispatch-prerequisite	-	verified	preserve-source-dependency	cpp:include/rive/factory.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/span.hpp	upstream-global-source	1	12	rive/span.hpp	generic-factory-contract	existing-rust:crates/nuxie-renderer/src/lib.rs	crates/nuxie-renderer/src/lib.rs	rust:crates/nuxie-renderer/src/lib.rs:1-26858	existing-rust-correspondence	-	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	include/rive/text_engine.hpp	upstream-global-source	1	9	rive/text_engine.hpp	generic-factory-contract	existing-rust:crates/nuxie-runtime/src/text.rs	crates/nuxie-runtime/src/text.rs	rust:crates/nuxie-runtime/src/text.rs:1-6377	existing-rust-correspondence	-	verified	reuse-exact-existing-rust-correspondence	cpp:include/rive/factory.hpp:9
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	toolchain:cstdint	toolchain-header	1	16	cstdint	generic-factory-contract	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/factory.hpp:16
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/factory.hpp	toolchain:stdio.h	toolchain-header	1	15	stdio.h	generic-factory-contract	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/factory.hpp:15
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/gpu_texture_format.hpp	toolchain:cstdint	toolchain-header	1	3	cstdint	generic-gpu-texture-format	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/gpu_texture_format.hpp:3
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	include/rive/rive_types.hpp	campaign-source	1	8	rive/rive_types.hpp	generic-refcnt	generic-rive-types	-	-	also-dispatch-prerequisite	-	verified	preserve-source-dependency	cpp:include/rive/refcnt.hpp:8
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	toolchain:atomic	toolchain-header	1	10	atomic	generic-refcnt	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/refcnt.hpp:10
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	toolchain:cstddef	toolchain-header	1	11	cstddef	generic-refcnt	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/refcnt.hpp:11
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	toolchain:type_traits	toolchain-header	1	12	type_traits	generic-refcnt	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/refcnt.hpp:12
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	include/rive/refcnt.hpp	toolchain:utility	toolchain-header	1	13	utility	generic-refcnt	external	-	-	toolchain-boundary	-	verified	provided-by-toolchain	cpp:include/rive/refcnt.hpp:13
