schema_version	upstream_ref	unit	upstream_path	field	cpp_ownership	rust_shape	threading	concrete_native_downcast_seam	release_invariant	failure_invariant	status	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	include/rive/refcnt.hpp	m_refcnt	intrusive atomic strong count owned by object	ResourceHandle<T> holds an erased Arc allocation plus an independent AtomicUsize logical rcp count; Arc owns allocation memory but never substitutes for the logical count	logical retain/release is thread-safe; final release may run on a worker; payload methods retain their own synchronization contract	Any payload downcast plus erased allocation Drop preserves the concrete destructor	one-to-zero moves the still-live erased Arc exactly once to manager release; no Arc resurrection occurs	overflow, underflow, double release, and recycling a count other than one are hard invariants	prepared	cpp:include/rive/refcnt.hpp:34-72; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:866; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:887; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:1024
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	renderer/include/rive/renderer/gpu_resource.hpp	m_manager	const nullable owning rcp<GPUResourceManager>	ResourceAllocation stores payload before Option<GpuResourceManager>; cloneable handles come only from a non-clone GpuResourceManagerOwner root that shuts down on Drop	manager state is mutex-serialized; final release may enter it from any worker; the root owner outlives authorized frame mutation	Any payload dispatch preserves concrete Drop; field order destroys derived payload before its manager base field	None deletes immediately; Some queues logical-count-zero only before first advance or while current>safe; caught-up/shutdown deletes immediately	ordinary safe construction cannot omit the cycle-breaking root; owner Drop idempotently purges nonempty cycles	prepared	cpp:renderer/include/rive/renderer/gpu_resource.hpp:13-37; cpp:renderer/src/gpu_resource.cpp:9-21; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:1057; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:1077
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	renderer/include/rive/renderer/gpu_resource.hpp	resource,lastFrameNumber	unique_ptr<GPUResource> plus immutable frame	ZombieResource owns Arc<dyn ErasedResourceAllocation> plus u64; logical count is zero in purgatory and one in the pool	manager state is locked before pool state; reclaimed allocations drop only after all relevant locks are released	Any downcast is checked and erased Arc Drop invokes the exact concrete payload destructor	purgatory/pool uniquely owns the suspended allocation until safe pop/acquire; pool acquisition resumes the existing count-one owner	never reconstruct Arc after strong count zero; suspended logical counts and FIFO frame order are asserted	prepared	cpp:renderer/include/rive/renderer/gpu_resource.hpp:39-51; cpp:renderer/src/gpu_resource.cpp:42-48; cpp:renderer/src/gpu_resource.cpp:85-118; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:780
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	renderer/include/rive/renderer/gpu_resource.hpp	m_currentFrameNumber,m_safeFrameNumber,m_didAdvanceFrameNumber	owned mutable lifecycle scalars	u64,u64,bool inside Mutex<ManagerState>, owned by an Arc inner issued through GpuResourceManagerOwner	advance/release/shutdown serialize on manager state; pool operations retain this lock through their pool mutation	none	owner shutdown sets both counters to UINT64_MAX and is idempotent; pre-first-frame flag distinguishes unsafe frame zero	decreasing counters or safe>current are hard invariants; post-owner mutation is outside the root lifetime contract	prepared	cpp:renderer/include/rive/renderer/gpu_resource.hpp:54-106; cpp:renderer/src/gpu_resource.cpp:23-83; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:1046; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:841
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	renderer/include/rive/renderer/gpu_resource.hpp	m_resourcePurgatory	owned FIFO deque<ZombieResource>	VecDeque<ZombieResource> inside Mutex<ManagerState>; each entry owns an erased allocation at logical count zero	final worker releases and frame advance serialize on manager state; safe entries move to a local reclaim list and destruct outside the lock	type-erased allocation owns the concrete payload; payload drops before its retained manager field	front pops while lastFrameNumber<=safe; root-owner Drop calls shutdown to empty purgatory and break the manager/resource cycle	zero logical count, monotonic FIFO order, and empty-at-inner-destruction remain hard assertions	prepared	cpp:renderer/include/rive/renderer/gpu_resource.hpp:107-109; cpp:renderer/src/gpu_resource.cpp:42-48; cpp:renderer/src/gpu_resource.cpp:65-73; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:901; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:1057
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	gpu-resource	renderer/include/rive/renderer/gpu_resource.hpp	m_maxPoolCount,m_pool	immutable limit plus owned FIFO deque<ZombieResource>	usize plus Mutex<VecDeque<ZombieResource>>; entries own erased allocations at logical count one	acquire and recycle lock manager state then pool state; trim/destruction occurs after both locks; concurrent frame/recycle is supported	type-erased allocations retain checked concrete payload destruction	acquire transfers oldest safe count-one owner; trim only safe excess after acquisition; recycle accepts only exactly one logical owner	lock order, count-one ownership, and monotonic FIFO snapshots are asserted; no live-handle resurrection	prepared	cpp:renderer/include/rive/renderer/gpu_resource.hpp:111-130; cpp:renderer/src/gpu_resource.cpp:85-118; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:976; rust:crates/nuxie-ore-metal/src/gpu_resource.rs:932
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	usage,size,data,immutable,label	borrowed construction descriptor; optional bytes/string	BufferDesc<'a>{data:Option<&'a [u8]>,label:Option<&'a str>,values}	call scope	none	descriptor owns nothing; Metal copies bytes and label	data length is size; immutable requires data; native allocation may fail	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:334-342; cpp:renderer/src/ore/metal/ore_context_metal.mm:416-442
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	width,height,depthOrArrayLayers,format,type,renderTarget,numMipmaps,sampleCount,label	borrowed scalar descriptor plus optional label	TextureDesc<'a> value fields plus Option<&'a str>	call scope	oreFormatToMTL/oreTextureTypeToMTL exhaustive conversions	Texture copies all fields except label; native object copies label	unsupported enum unreachable; exception/nil allocation fails	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:344-355; cpp:renderer/src/ore/metal/ore_context_metal.mm:28-117; cpp:renderer/src/ore/metal/ore_context_metal.mm:445-520
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	texture,dimension,aspect,baseMipLevel,mipCount,baseLayer,layerCount	required borrowed Texture plus scalar range	TextureViewDesc{texture:&AnyResourceHandle,values}; factory clones intrusive owner	call scope	ContextMetal downcasts the erased payload to TextureMetal before native view creation	constructed view clones the strong logical resource owner exactly once	wrong payload type fails before native access; nil native view falls back to source handle	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:357-366; cpp:renderer/src/ore/metal/ore_context_metal.mm:523-562; rust:crates/nuxie-ore-metal/src/texture.rs:93
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	ore-types	renderer/include/rive/renderer/ore/ore_types.hpp	data,bytesPerRow,rowsPerImage,mipLevel,layer,x,y,z,width,height,depth	required borrowed upload span plus values	TextureDataDesc<'a>{data:&'a [u8],values}	synchronous upload	TextureMetal receiver required	borrow ends after replaceRegion; no staging owner retained	null data/nil texture assert; Rust validates span/stride before unsafe call	prepared	cpp:renderer/include/rive/renderer/ore/ore_types.hpp:368-377; cpp:renderer/src/ore/metal/ore_texture_metal.mm:11-34
