upstream_file	cpp_type	ast_qualified_type	source_sha256
renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderTargetMetal	rive::gpu::RenderTargetMetal	c563c456f73c874990910db206dd8c8a36d2a6a0c9774cd006619c8f033b0c4f
renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl::ContextOptions	rive::gpu::RenderContextMetalImpl::ContextOptions	c563c456f73c874990910db206dd8c8a36d2a6a0c9774cd006619c8f033b0c4f
renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::DrawPipeline	rive::gpu::DrawPipeline	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	rive::gpu::RenderContextMetalImpl	c563c456f73c874990910db206dd8c8a36d2a6a0c9774cd006619c8f033b0c4f
renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl::MetalFeatures	rive::gpu::RenderContextMetalImpl::MetalFeatures	c563c456f73c874990910db206dd8c8a36d2a6a0c9774cd006619c8f033b0c4f
renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::ColorRampPipeline	rive::gpu::ColorRampPipeline	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::TessellatePipeline	rive::gpu::TessellatePipeline	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::FeatherAtlasPipeline	rive::gpu::FeatherAtlasPipeline	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/src/metal/render_context_metal_impl.mm	BufferRingMetalImpl	rive::gpu::BufferRingMetalImpl	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/src/metal/render_context_metal_impl.mm	RenderBufferMetalImpl	rive::gpu::RenderBufferMetalImpl	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/src/metal/render_context_metal_impl.mm	TextureMetalImpl	rive::gpu::TextureMetalImpl	facf8946dd5084734e21669d29676ba5ac8ed979851ea23d611a8ed1afc1b810
renderer/include/rive/renderer/buffer_ring.hpp	BufferRing	rive::gpu::BufferRing	2c1d9f7ba9717afd2bc129fae2942d8b5d2a4c496cc30be613daa68f501e0c54
renderer/src/metal/background_shader_compiler.h	BackgroundCompileJob	rive::gpu::BackgroundCompileJob	229efee54df3b5f525952dc8e6e297764dff87bef22808c1e91cf35104fdf9ad
renderer/src/metal/background_shader_compiler.h	BackgroundShaderCompiler	rive::gpu::BackgroundShaderCompiler	229efee54df3b5f525952dc8e6e297764dff87bef22808c1e91cf35104fdf9ad
include/rive/refcnt.hpp	RefCnt<T>	rive::RefCnt::RefCnt	5a3c11ae5b6c5615c9bc8f719b0bcaa770984ef4a18381891e266936b2f2df7d
include/utils/lite_rtti.hpp	enable_lite_rtti<Root, ID>	rive::enable_lite_rtti::enable_lite_rtti	590e1b7314acd3f235b9d6600a3d568f07e7be32b61de7e8cb67ab19b002b812
include/rive/renderer.hpp	RenderBuffer	rive::RenderBuffer	73a6d98abc2d4a664387cecd2a4660bc52be27e2eb77acf7001b80b768119b15
renderer/include/rive/renderer/render_target.hpp	RenderTarget	rive::gpu::RenderTarget	b84e24fcb41b77dc1c36c42cb6e39562de34037db3895c017e9ca38104fbb690
renderer/include/rive/renderer/texture.hpp	Texture	rive::gpu::Texture	297c615ee0de054e28d2d6067316ac39b89fa3cea4de19d2b23aaf96395432b9
renderer/include/rive/renderer/rive_render_buffer.hpp	RiveRenderBuffer	rive::RiveRenderBuffer	14bf8018d6ff2d0ed528f37611b94ef9366e6a4570b53f18e3c896ca96442496
renderer/include/rive/renderer/render_context_impl.hpp	RenderContextImpl	rive::gpu::RenderContextImpl	36637574e720c6a3f08ab4a4afefed861fe01ff0820bb2095d4a050027d2a3df
renderer/include/rive/renderer/render_context_helper_impl.hpp	RenderContextHelperImpl	rive::gpu::RenderContextHelperImpl	b2f292aeda3510fddaa360f248fc768e9fc78f30c946ed55f88f58c4d6599761
include/rive/refcnt.hpp	rcp<T>	rive::rcp::rcp	5a3c11ae5b6c5615c9bc8f719b0bcaa770984ef4a18381891e266936b2f2df7d
include/rive/renderer.hpp	RenderImage	rive::RenderImage	73a6d98abc2d4a664387cecd2a4660bc52be27e2eb77acf7001b80b768119b15
include/rive/shapes/paint/image_sampler.hpp	ImageSampler	rive::ImageSampler	c88d4708b86905adc5e9125bce82410fed3d56a0e2a6b628c0b003db862524ae
decoders/include/rive/decoders/astc_footprints.hpp	AstcFootprint	rive::AstcFootprint	6f392e603c55713e3e3d2a8931cd67e4fb02af975cd32a3e5d6375db2fe077a7
renderer/include/rive/renderer/rive_render_image.hpp	RiveRenderImage	rive::RiveRenderImage	b4e7f753191c1cea1514364184a313484e5ac550d234cf73a00cdbbdb8ae29fb
renderer/include/rive/renderer/render_canvas.hpp	RenderCanvas	rive::gpu::RenderCanvas	5dcb7b8ddcde6fe878555613fa8aa3fd37e56a7a4d36f7314d6706f4b20ae86d
renderer/include/rive/renderer/gpu.hpp	PlatformFeatures	rive::gpu::PlatformFeatures	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	GradientSpan	rive::gpu::GradientSpan	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	TessVertexSpan	rive::gpu::TessVertexSpan	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	ImageRectVertex	rive::gpu::ImageRectVertex	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	ColorRampLocation	rive::gpu::ColorRampLocation	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	SimplePaintValue	rive::gpu::SimplePaintValue	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	ClipRectInverseMatrix	rive::gpu::ClipRectInverseMatrix	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	GradTextureLayout	rive::gpu::GradTextureLayout	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PatchVertex	rive::gpu::PatchVertex	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	AtlasDrawBatch	rive::gpu::AtlasDrawBatch	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	StencilInfo	rive::gpu::StencilInfo	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	DrawBatch	rive::gpu::DrawBatch	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	TwoTexelRamp	rive::gpu::TwoTexelRamp	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	FlushDescriptor	rive::gpu::FlushDescriptor	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	FlushUniforms	rive::gpu::FlushUniforms	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	FlushUniforms::InverseViewports	rive::gpu::FlushUniforms::InverseViewports	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	AtlasTransform	rive::gpu::AtlasTransform	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	CoverageBufferRange	rive::gpu::CoverageBufferRange	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PathData	rive::gpu::PathData	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PaintData	rive::gpu::PaintData	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PaintData::<anonymous union>	rive::gpu::PaintData::<anonymous>	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PaintAuxData	rive::gpu::PaintAuxData	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PaintAuxData::<anonymous union>	rive::gpu::PaintAuxData::<anonymous>	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	ContourData	rive::gpu::ContourData	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	TriangleVertex	rive::gpu::TriangleVertex	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	ImageDrawInstance	rive::gpu::ImageDrawInstance	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	WriteOnlyMappedMemory<T>	rive::gpu::WriteOnlyMappedMemory::WriteOnlyMappedMemory	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	StencilFaceOps	rive::gpu::StencilFaceOps	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	DepthState	rive::gpu::DepthState	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/gpu.hpp	PipelineState	rive::gpu::PipelineState	97ac849899dedb73a37a8958c58330862482337682b18f99d9b116f052640c9f
renderer/include/rive/renderer/render_context.hpp	GradientContentKey	rive::gpu::GradientContentKey	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext	rive::gpu::RenderContext	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::FrameDescriptor	rive::gpu::RenderContext::FrameDescriptor	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::FlushResources	rive::gpu::RenderContext::FlushResources	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::ResourceAllocationCounts	rive::gpu::RenderContext::ResourceAllocationCounts	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::DrawSortEntry	rive::gpu::RenderContext::DrawSortEntry	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::LogicalFlush	rive::gpu::RenderContext::LogicalFlush	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::LogicalFlush::ClipInfo	rive::gpu::RenderContext::LogicalFlush::ClipInfo	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::LogicalFlush::ResourceCounters	rive::gpu::RenderContext::LogicalFlush::ResourceCounters	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::LogicalFlush::LayoutCounters	rive::gpu::RenderContext::LogicalFlush::LayoutCounters	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
renderer/include/rive/renderer/render_context.hpp	RenderContext::TessellationWriter	rive::gpu::RenderContext::TessellationWriter	d75cc32f791314e7f3e94819add84de5d68fea0ed8541583a73670fe450088f9
