version	upstream_sha	upstream_file	lines	symbol	status	rust_owner	remaining
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1-44	translation-unit preamble and platform metallib selection	partial	crates/nuxie-renderer/src/native_metal/draw_shader.rs	iOS simulator visionOS and tvOS embedded-library configurations
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	45-58	make_pipeline_state	ported	crates/nuxie-renderer/src/native_metal/draw_pipeline.rs	typed-error adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	59-100	image sampler mappings	ported	crates/nuxie-renderer/src/native_metal/samplers.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	101-122	ColorRampPipeline	ported	crates/nuxie-renderer/src/native_metal/context.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	123-144	TessellatePipeline	ported	crates/nuxie-renderer/src/native_metal/context.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	145-177	FeatherAtlasPipeline	ported	crates/nuxie-renderer/src/native_metal/feather_atlas_pipeline.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	178-261	DrawPipeline precompiled function selection	ported	crates/nuxie-renderer/src/native_metal/pipeline_names.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	262-402	DrawPipeline construction and state	partial	crates/nuxie-renderer/src/native_metal/draw_pipeline.rs	tool failure injection and full context key coverage
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	403-413	is_apple_silicon	partial	crates/nuxie-renderer/src/native_metal/capabilities.rs	tvOS and visionOS configurations excluded
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	414-453	BufferRingMetalImpl	ported	crates/nuxie-renderer/src/native_metal/upload_buffer_ring.rs	retained typed-owner adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	454-461	MakeContext	partial	crates/nuxie-renderer/src/native_metal/mod.rs	public context options and device-injected factory
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	462-728	RenderContextMetalImpl constructor	partial	crates/nuxie-renderer/src/native_metal/context.rs	device-injected public MakeContext and remaining Apple configurations; public options exact seven-entry raster preload persistent compiler and retained queue are closed
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	729-734	destructor	ported	crates/nuxie-renderer/src/native_metal/context.rs	Rust field drop and compiler join
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	735-782	RenderTargetMetal construction set and make	ported	crates/nuxie-renderer/src/native_metal/render_target.rs	typed-error transactional adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	783-829	RenderBufferMetalImpl and makeRenderBuffer	ported	crates/nuxie-renderer/src/native_metal/buffer.rs	infallible Factory boundary adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	830-906	TextureMetalImpl	ported	crates/nuxie-renderer/src/native_metal/image_texture.rs	ASTC enum-gap correction
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	907-974	makeImageTexture	ported	crates/nuxie-renderer/src/native_metal/context.rs	Factory encoded-RGBA adaptation plus exact raw compressed and mip owner
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	975-985	adoptImageTexture	ported	crates/nuxie-renderer/src/native_metal/context.rs	retained caller texture exposed by factory and reused by canvas
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	986-1015	makeRenderCanvas	ported	crates/nuxie-renderer/src/native_metal/render_canvas.rs	private RGBA8 target and image wrappers retain one exact texture
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1016-1022	makeOreContext	ported	crates/nuxie-renderer/src/native_metal/mod.rs	RIVE_CANVAS-equivalent opt-in feature uses exact retained renderer device and queue
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1023-1040	buffer-ring factories	ported	crates/nuxie-renderer/src/native_metal/upload_buffer_ring.rs	typed rings replace generic protected factories
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1041-1059	resizeGradientTexture	ported	crates/nuxie-renderer/src/native_metal/gradient_resource.rs	transactional adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1060-1078	resizeTessellationTexture	ported	crates/nuxie-renderer/src/native_metal/tessellation_resource.rs	transactional adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1079-1116	resizeFeatherAtlasTexture	ported	crates/nuxie-renderer/src/native_metal/feather_atlas_resource.rs	transactional lazy-pair adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1117-1226	findCompatibleDrawPipeline	partial	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	production clockwise and clockwiseAtomic realization plus a general FlushDescriptor failure-injection input; key masks three modes placeholders LIFO completion routing cached failures and recursive fallback are closed
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1227-1237	makeCommandBuffer	ported	crates/nuxie-renderer/src/native_metal/context.rs	retained typed-owner adaptation
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1238-1254	commitCommandBuffer	partial	crates/nuxie-renderer/src/native_metal/context.rs	separate async commit from caller wait policy
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1255-1265	prepareToFlush	partial	crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs	general flush boundary and async release
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1266-1297	buffer viewport and scissor helpers	ported	crates/nuxie-renderer/src/native_metal/mod.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1298-1393	makeRenderPassForDraws	partial	crates/nuxie-renderer/src/native_metal/mod.rs	general descriptor-driven common bindings
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1394-1451	flush gradient prepass	ported	crates/nuxie-renderer/src/native_metal/mod.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1452-1511	flush tessellation prepass	ported	crates/nuxie-renderer/src/native_metal/mod.rs	-
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	1512-1650	flush feather-atlas prepass	partial	crates/nuxie-renderer/src/native_metal/mod.rs	general mixed atlas scheduling
